,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,0.06,0.26,19.8,508389,21.7,8.9,102478,22.1,N/A,31506,39.5%,50.2%,18.3%
University of Auckland,0.05,0.27,46.8,573820,22.6,11.4,162814,71.1,N/A,69704,41.9%,55.6%,31.2%
James Cook University,0.05,0.19,16.1,633212,21,12.3,58268,19.5,N/A,19496,36.5%,53.1%,11.1%
Griffith University,0.04,0.24,33.2,575906,28.6,11.9,70940,42.4,N/A,23750,47.6%,47.1%,17.4%
University of Canberra,0.03,0.29,7.3,787305,37.4,12,74718,11.7,N/A,12958,41.2%,43.8%,34.7%
Curtin University,0.05,0.19,29.1,317603,20.5,10,49334,27.5,N/A,10792,65.9%,55.8%,32.4%
RMIT University,0.04,0.22,17.2,689796,23.1,9.4,59189,32.1,N/A,17776,60.9%,52%,32.7%
La Trobe University,0.04,0.31,20.3,801684,31.9,14.3,109353,28.5,N/A,26865,37.4%,44.2%,30.5%
National University of Singapore,0.11,0.43,549.9,2434343,18,12.2,732663,679.4,N/A,74545,56.8%,62.2%,26.5%
The University of Queensland,0.14,0.88,124.6,1158262,35.5,18.6,404132,148.6,N/A,81705,32.5%,54.2%,38.1%
University of Sydney,0.1,0.3,188.3,729946,19.4,14.1,177449,248.5,N/A,58275,27.1%,51.8%,42.7%
Macquarie University,0.06,0.7,30,1729268,65.5,13.4,206706,34.7,N/A,40350,26.9%,50.9%,29.4%
Deakin University,0.02,0.16,32,705017,33.9,11.5,39203,28.7,N/A,11422,31.1%,48.7%,26.4%
Monash University,0.06,0.59,158.4,1274441,41.7,17.6,308195,173.7,N/A,66904,26.2%,53.2%,43.1%
Queensland University of Technology,0.05,0.39,23.4,873632,42,15.4,136747,27.4,N/A,32262,44.7%,50.9%,16.7%
University of Technology Sydney,0.05,0.51,26.3,1231690,41.7,17.7,285127,25.7,N/A,32703,51.3%,58.8%,35.7%
UNSW Sydney,0.1,0.65,101.2,1398002,41,18.4,355790,154.5,N/A,53932,55.2%,52.5%,43.6%
University of Tasmania,0.05,0.25,23.4,608363,22.8,10.7,164745,11.2,N/A,20960,32.1%,51.9%,33.2%
University of Adelaide,0.07,0.49,29,913855,30.7,18,353006,37.4,N/A,56889,47.3%,53.2%,29.2%
Western Sydney University,0.03,0.23,19.8,608512,37.8,10.3,47299,27.7,N/A,13609,60.9%,49.6%,20.2%
University of Wollongong,0.06,0.39,17.1,912819,30.5,15.6,132360,27.1,N/A,37717,49%,55.2%,29.4%
University of South Australia,0.03,0.21,22.6,671931,30.6,10.8,148238,20.6,N/A,96867,53.1%,49.4%,20.2%
Australian Catholic University,0.02,0.15,7.4,729208,46.3,8.3,21407,11.5,N/A,7478,31.9%,45.4%,13.4%
University of Otago,0.08,0.29,29.2,539169,20.4,9.4,99349,35.3,N/A,6324,60%,55.4%,21.2%
University of Melbourne,0.23,1.01,248.3,997994,27,15.9,260637,341.3,N/A,67444,40.5%,51.8%,48.5%
The University of Western Australia,0.08,0.38,27.1,796314,22.5,21.1,245911,46.4,N/A,41153,55.9%,59%,28.8%
Australian National University,0.11,0.34,116.2,885455,17.8,17,415839,197,N/A,15852,57.1%,57.1%,47%
Worldwide: Top*,0.31,0.8,29.3,8540137,43.8,18,1374684,27.2,0,316735,36%,83%,38%
Worldwide: 75%,0.14,0.38,12.5,3613295,24.2,8.9,564723,11.4,0,128643,15.6%,49.7%,16.7%
Worldwide: Median,0.07,0.19,3.6,855617,16.5,5,121971,2.9,0,16978,5.5%,37%,7.3%
Worldwide: 25%,0.03,0.09,1.1,315183,11.1,2.7,24258,0.9,0,3146,1.9%,26.7%,2.4%
Worldwide: Bottom*,0,0,0,1378,0.1,0,4,0,0,-282,0%,5.9%,0%
