,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,0.05,0.3,7.6,727150,29,12.4,139783,9.9,N/A,43872,42.3%,51.6%,19.2%
University of Auckland,0.06,0.32,50.5,602984,22.7,12,171568,65.1,N/A,57950,39.6%,57%,32.4%
James Cook University,0.06,0.24,14.1,640841,20.1,13.9,49882,17.6,N/A,17870,37.7%,55.3%,12%
Griffith University,0.04,,17.2,593185,29,13.2,73984,26.3,N/A,26191,47.7%,48.7%,17.7%
University of Canberra,0.03,0.29,12.4,793408,35.4,12.2,85925,18,N/A,15850,41.4%,46.1%,29.5%
Curtin University,0.04,0.19,21,319710,20.7,12.4,51447,26.7,N/A,10191,58.4%,59.6%,32.4%
RMIT University,0.05,0.23,28.5,718712,23.3,11.3,62136,24.7,N/A,18728,62.1%,53.9%,34.3%
La Trobe University,0.04,0.28,19.7,780386,33.8,15.2,103727,14.5,N/A,19803,37.6%,47.8%,39.2%
National University of Singapore,0.12,0.46,536.7,2418855,18.8,12.5,650147,635.8,N/A,69455,57.6%,64.2%,25.3%
The University of Queensland,0.18,1.1,111.3,1243361,35.8,18.8,398517,161.7,N/A,95305,32.8%,55.3%,41.2%
University of Sydney,0.1,0.29,162.9,765279,19.3,14.8,156779,184.3,N/A,51980,27.8%,53.7%,46.6%
Macquarie University,0.06,0.81,22.6,1884469,69.6,16.6,233081,34,N/A,47099,29.4%,53.7%,29.6%
Deakin University,0.03,0.19,22.9,722159,33.6,12.8,46056,26.3,N/A,13565,32.2%,51.1%,28.5%
Monash University,0.07,0.58,122.5,1453912,44.1,17,328370,144.9,N/A,77645,26.8%,54.7%,45.5%
Queensland University of Technology,0.05,0.37,25.5,890325,40.2,15.4,122153,36.7,N/A,25178,44.7%,52.5%,17.6%
University of Technology Sydney,0.05,0.52,24.9,1192979,39.6,19.3,281130,30.2,N/A,33291,49.3%,60.9%,36.8%
UNSW Sydney,0.1,0.63,103.1,1429227,40.5,20.3,373385,121.6,N/A,64156,55.7%,54.8%,44%
University of Tasmania,0.07,0.31,8.6,644707,22.3,11.6,147340,14.1,N/A,20326,31.6%,54%,36.6%
University of Adelaide,0.07,0.46,43.4,934548,30.6,19.1,348646,46.8,N/A,50930,46.4%,55.4%,32.1%
Western Sydney University,0.03,0.25,22.6,662058,37.8,11.4,43799,12.3,N/A,12906,59.7%,50.1%,22.5%
University of Wollongong,0.06,0.39,17.4,989905,30.2,17.7,130017,29.8,N/A,34659,43.3%,57.6%,30%
University of South Australia,0.03,0.17,8.2,686238,32.2,11.3,143584,14.5,N/A,90009,51.9%,51.7%,21.9%
Australian Catholic University,0.01,0.11,4.8,690037,42.9,8.1,20955,5.7,N/A,3127,33.6%,49.1%,14.5%
University of Otago,0.07,0.29,43.5,587835,20.5,10,109229,44.4,N/A,8238,60%,56.7%,21.5%
University of Melbourne,0.23,0.95,226,1015589,26.5,17.4,251980,259.6,N/A,68570,41.3%,53.6%,49.5%
The University of Western Australia,0.08,0.34,47.2,862150,21.3,24.1,232145,58.7,N/A,50000,58.7%,62%,30.5%
Australian National University,0.1,0.34,140.8,964050,17.6,19.1,403697,194.4,N/A,21734,57.3%,59.4%,46.6%
Worldwide: Top*,0.3,0.77,23.9,9113756,43.7,18.5,1439063,23.8,0,348248,36.2%,82.5%,37.3%
Worldwide: 75%,0.13,0.36,10.3,3854816,24.2,9,592105,10,0,141616,15.5%,51%,16.3%
Worldwide: Median,0.06,0.19,3,882468,16.5,5,123836,2.6,0,18602,5.4%,37.6%,6.7%
Worldwide: 25%,0.03,0.09,1.1,332977,11.2,2.7,25628,0.8,0,3406,1.7%,27.1%,2.2%
Worldwide: Bottom*,0,0,0,75,0.1,0.1,-915,0,0,-570,0%,6.1%,0%
