,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,0.05,0.26,13.3,471052,22,0,88211,21.5,N/A,44874,38.9%,0%,16.9%
RMIT University,0.04,0.13,24.9,435852,17.2,0,34989,19.5,N/A,10014,59.8%,0%,25.3%
National University of Singapore,0.15,0.52,499.1,2096642,17,0,496797,561,N/A,43362,57.6%,0%,30.5%
La Trobe University,0.03,0.32,5,875887,34.5,0,114086,12.3,N/A,37930,40.8%,0%,26.5%
Curtin University,0.04,0.15,13,365682,18.5,0,50958,15.1,N/A,11692,65.5%,0%,37%
University of Canberra,0.03,0.18,3.7,538328,30.3,0,25282,9.2,N/A,2805,12.6%,0%,28.1%
University of Tasmania,0.06,0.21,4.5,524691,14.5,0,153706,10.9,N/A,28533,35.3%,0%,21.8%
The University of Queensland,0.09,0.63,82.5,1061143,35.7,0,364036,126.3,N/A,66284,36.9%,0%,26.2%
Western Sydney University,0.02,0.14,3.6,537191,34,0,32147,8.5,N/A,8162,57.6%,0%,13.1%
University of Sydney,0.1,0.31,152,672649,21.6,0,200469,195.3,N/A,52354,23.8%,0%,31.8%
James Cook University,0.06,0.23,8.3,616699,22.5,0,64986,8.4,N/A,16559,31.7%,0%,12%
University of Technology Sydney,0.04,0.38,12.8,674283,43.6,0,146368,11.7,N/A,21233,55.9%,0%,36.8%
Monash University,0.08,0.49,94.2,999366,33.7,0,260806,109.6,N/A,58235,25.8%,0%,28.1%
University of Adelaide,0.08,0.53,16.5,965396,34.3,0,342742,18.9,N/A,51511,34.9%,0%,26.1%
Australian Catholic University,0.01,0.06,5.5,458559,30.7,0,20839,5.6,N/A,5418,4%,0%,9.1%
University of Otago,0.07,0.29,32.1,498408,19.9,0,69974,30.1,N/A,19668,60%,0%,20.3%
University of Auckland,0.06,0.23,52.4,461951,18.8,0,108725,64,N/A,51546,31.5%,0%,29.2%
University of South Australia,0.05,0.32,1.8,611062,25.8,0,124230,9.1,N/A,76694,81%,0%,41.4%
The University of Western Australia,0.06,0.37,34.8,744368,21.8,0,302783,52.7,N/A,32815,59.6%,0%,25.4%
Australian National University,0.18,0.44,140.8,918884,19.3,0,428944,227.8,N/A,42138,54.1%,0%,35.1%
University of Melbourne,0.21,0.96,239.5,924311,26.6,0,253006,292.5,N/A,55968,46.3%,0%,39.9%
Macquarie University,0.06,0.35,19.2,704872,31,0,78428,22.4,N/A,13767,23.4%,0%,22.1%
Griffith University,0.04,0.19,14.2,423197,22.3,0,53090,23.6,N/A,13343,47.2%,0%,18.9%
Deakin University,0.03,0.22,15.6,581435,32.9,0,30171,20.4,N/A,6750,39%,0%,17.4%
Queensland University of Technology,0.05,0.34,20.6,686899,37,0,183716,22.4,N/A,45231,40.2%,0%,17%
UNSW Sydney,,,64.8,802017,26.7,0,272842,96.3,N/A,26205,50.3%,0%,33.7%
University of Wollongong,0.07,0.37,18.6,730588,27,0,92898,16.2,N/A,23305,49%,0%,24.1%
Worldwide: Top*,0.31,0.8,28.5,6001536,44,0,1138392,28.3,0,222565,40.2%,0%,38.4%
Worldwide: 75%,0.15,0.39,12.1,2578275,24.3,0,471269,11.9,0,90841,17.7%,0%,17.3%
Worldwide: Median,0.08,0.22,3.4,713148,16.8,0,113571,3,0,14061,6.5%,0%,8.7%
Worldwide: 25%,0.04,0.11,1,284000,11.2,0,25871,0.9,0,2991,2.4%,0%,3%
Worldwide: Bottom*,0,0,0,0,0.5,0,0,0,0,-116,0%,0%,0%
