,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,0.05,0.22,21,429047,21.9,5.7,76172,30,N/A,36306,34.5%,41.2%,17.6%
RMIT University,0.04,0.15,18,407069,18.1,3.9,33082,16,N/A,9573,58.8%,38.9%,24.5%
National University of Singapore,0.13,0.41,248,1412070,15.5,9.8,341974,370,N/A,22059,57.4%,54%,34%
La Trobe University,0.04,0.3,12,548462,29,6.7,68585,10,N/A,16159,43.9%,33.7%,26.5%
Curtin University,0.03,0.14,6,315087,17.1,5.3,40515,16,N/A,10370,61.4%,46.7%,37.9%
University of Canberra,0.02,0.14,3,426386,28.6,5.1,32520,4,N/A,8708,10.4%,30.5%,24.2%
University of Tasmania,0.04,0.2,7,465104,23.8,6.8,126466,12,N/A,15191,31.4%,45.5%,20.5%
The University of Queensland,0.12,0.66,60,1035062,32.7,12.6,356669,107,N/A,49977,38.3%,46.6%,26.8%
Western Sydney University,0.02,0.14,9,471678,32.2,6,15373,14,N/A,3010,11.4%,42.9%,9.2%
University of Sydney,0.1,0.35,116,595622,20.2,10.3,190422,179,N/A,44917,26.8%,45.9%,27.8%
James Cook University,0.04,0.16,3,535283,21.9,6.9,62909,9,N/A,13293,32%,45.6%,11.3%
University of Technology Sydney,0.03,0.27,15,760169,44.1,8.9,132325,18,N/A,15132,53.8%,42.9%,31.2%
Monash University,0.04,0.46,72,978735,40.5,12.5,276366,89,N/A,55070,35.5%,42.6%,35.9%
University of Adelaide,0.07,0.41,18,911571,30.1,11.1,335325,26,N/A,53373,34.9%,44.5%,26.4%
University of Otago,0.06,0.27,27,408768,20.3,7.8,63358,26,N/A,3833,65%,50.2%,20.6%
University of Auckland,0.05,0.21,35,419578,18.9,7.7,99215,53,N/A,51689,31.5%,50.1%,28%
University of South Australia,0.04,0.29,7,548972,26.2,7.4,103865,7,N/A,63274,79.9%,39.7%,32.2%
The University of Western Australia,0.07,0.29,30,643590,20.7,10.8,240272,39,N/A,36407,55.4%,51.2%,26.5%
Australian National University,0.15,0.48,91,844938,19.2,10.7,439410,191,N/A,20354,52.3%,50.6%,34.9%
University of Melbourne,0.1,0.48,143,762303,23.7,11.1,206883,227,N/A,36478,29.2%,44.5%,34.7%
Macquarie University,0.05,0.21,24,408388,20,5.1,45136,23,N/A,5514,63.9%,44%,44.1%
Griffith University,0.03,0.15,13,392454,22,5.7,47765,17,N/A,7117,45.8%,40.1%,20.6%
Deakin University,0.02,0.17,12,511240,30.4,6.2,26550,9,N/A,2228,40.4%,39.6%,17.1%
Queensland University of Technology,0.04,0.31,18,626396,35.8,8,159012,21,N/A,46345,39.7%,39.6%,16.5%
UNSW Sydney,0.1,0.41,45,720615,25.9,12,192457,74,N/A,22255,42.7%,43.3%,32.5%
University of Wollongong,0.06,0.31,8,583316,25.4,9.6,87591,7,N/A,29820,53.4%,43.7%,24.4%
Worldwide: Top*,0.31,0.76,28,5478748,42,14.5,1021783,31,0,174936,44.2%,75.4%,36.7%
Worldwide: 75%,0.15,0.37,12,2334937,23.1,7.8,428196,13,0,71949,19.4%,46.1%,17.2%
Worldwide: Median,0.09,0.21,3,630031,16,5.2,110705,4,0,13455,7.3%,36.4%,9.2%
Worldwide: 25%,0.04,0.11,1,233767,10.4,3.1,25254,1,0,2825,2.7%,26.4%,4%
Worldwide: Bottom*,0,0,0,0,0,0.2,0,0,0,-8,0%,7.6%,0%
